model_name,battery_info_battery_spec,connectivity_info_hdmi,connectivity_info_usb,connectivity_info_wifi,display_info_lcd,hardware_info_gpu,hardware_info_storage,version_info_version
APX938,Lithium-ion; 57.75Wh; 15.4V/3750mAh,4K/60Hz; HDMI 2.0,Type-C; USB4.0; 40Gbps; Type A; USB3.2 Gen1; 5Gbps; 10Gbps; USB3.2 Gen2; Type C; USB2.0,BT5.2; WiFi 6; WiFi 6E; BT5.3; Bluetooth 5.2; 802.11ax; Wifi 6E; Bluetooth 5.3,60Hz; QHD; 120Hz; FHD; 2560* 1600 QHD; 1920* 1200 FHD,AMD Radeon™ Graphics,NVME SSD; up to 8TB,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
ARB938,Lithium-ion; 57.75Wh; 15.4V/3750mAh,4K/60Hz; HDMI 2.0,Type-C; USB4.0; 40Gbps; Type A; USB3.2 Gen1; 5Gbps; 10Gbps; USB3.2 Gen2; Type C; USB2.0,BT5.2; WiFi 6; WiFi 6E; BT5.3; Bluetooth 5.2; 802.11ax; Wifi 6E; Bluetooth 5.3,60Hz; QHD; 120Hz; FHD; 2560* 1600 QHD; 1920* 1200 FHD,AMD Radeon™ Graphics,NVME SSD; up to 8TB,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
AHP938U,Lithium-ion; 57.75Wh; 15.4V/3750mAh,4K/60Hz; HDMI 2.0,Type-C; USB4.0; 40Gbps; Type A; USB3.2 Gen1; 5Gbps; 10Gbps; USB3.2 Gen2; Type C; USB2.0,BT5.2; WiFi 6; WiFi 6E; BT5.3; Bluetooth 5.2; 802.11ax; Wifi 6E; Bluetooth 5.3,60Hz; QHD; 120Hz; FHD; 2560* 1600 QHD; 1920* 1200 FHD,AMD Radeon™ Graphics,NVME SSD; up to 8TB,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
AKK938,Lithium-ion; 57.75Wh; 15.4V/3750mAh,4K/60Hz; HDMI 2.0,Type-C; USB4.0; 40Gbps; Type A; USB3.2 Gen1; 5Gbps; 10Gbps; USB3.2 Gen2; Type C; USB2.0,BT5.2; WiFi 6; WiFi 6E; BT5.3; Bluetooth 5.2; 802.11ax; Wifi 6E; Bluetooth 5.3,60Hz; QHD; 120Hz; FHD; 2560* 1600 QHD; 1920* 1200 FHD,AMD Radeon™ Graphics,NVME SSD; up to 8TB,MP_v1.0; PVT_v1.4; PVT_v1.0; Planning_v0.1
